controller,timestamp,loop,q0,q1,q2,q3,q4,q5,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,target0,target1,target2,target3,target4,target5,cmd_pos0,cmd_pos1,cmd_pos2,cmd_pos3,cmd_pos4,cmd_pos5,cmd_vel0,cmd_vel1,cmd_vel2,cmd_vel3,cmd_vel4,cmd_vel5,u0,u1,u2,u3,u4,u5,hal_vel0,hal_vel1,hal_vel2,hal_vel3,hal_vel4,hal_vel5,hal_torq0,hal_torq1,hal_torq2,hal_torq3,hal_torq4,hal_torq5,err_norm,poll_ms,solve_ms,hal_write_ms,sleep_ms
pid,05:01:56.513,1,-90.088,-90.771,0.385,-90.053,3.463,0.001,0.0,0.0,0.0,0.0,0.0,0.0,-90.088,-100.0,0.385,-90.053,3.463,0.001,-90.088,-95.394729,0.385,-90.053,3.463,0.001,0.0,-115.593225,0.0,0.0,0.0,0.0,0.0,-4.623728999999997,0.0,0.0,0.0,0.0,-0.0068849,-0.13769800000000001,-0.0137698,-0.034424500000000004,0.0137698,0.0068849,-0.007992918192818,-0.028538705738348,-0.0058949938949199995,0.001103785103808,0.0017936507936880002,0.001121031746055,9.229,1.9672019998324686,0.48290199993061833,0.13946099988970673,17.824853000092844
pid,05:01:56.535,2,-90.088,-90.774,0.385,-90.053,3.463,0.001,0.0,-0.14370944973618033,0.0,0.0,0.0,0.0,-90.088,-100.0,0.385,-90.053,3.463,0.001,-90.088,-95.40585884690667,0.385,-90.053,3.463,0.001,0.0,-110.94031435743163,0.0,0.0,0.0,0.0,0.0,-4.631858846906667,0.0,0.0,0.0,0.0,-0.0206547,-0.14458290000000001,0.0413094,0.0275396,-0.0,0.0068849,-0.008270329670226,-0.029596336995965998,-0.0050280830280199995,0.000620879120892,0.0017074175824530002,0.000810592185609,9.225999999999999,7.348739000008209,0.439903000369668,0.18170200019085314,18.86045399987779
pid,05:01:56.562,3,-90.088,-90.781,0.385,-90.053,3.463,0.001,0.0,-0.2557168314246482,0.0,0.0,0.0,0.0,-90.088,-100.0,0.385,-90.053,3.463,0.001,-90.088,-95.42197690564775,0.385,-90.053,3.463,0.001,0.0,-84.76970778759738,0.0,0.0,0.0,0.0,0.0,-4.640976905647747,0.0,0.0,0.0,0.0,0.0068849,-0.0826188,-0.0068849,0.0275396,-0.0137698,-0.0137698,-0.008270329670226,-0.031572893772498,-0.00398778998774,0.000310439560446,0.0019143772894170002,0.000586385836398,9.218999999999994,3.791830999944068,0.7273259998328285,0.13509099971997784,22.83407899994927
pid,05:01:56.590,4,-90.088,-90.783,0.385,-90.053,3.463,0.001,0.0,-0.07206831732487198,0.0,0.0,0.0,0.0,-90.088,-100.0,0.385,-90.053,3.463,0.001,-90.088,-95.43576615943098,0.385,-90.053,3.463,0.001,0.0,-83.82925700426982,0.0,0.0,0.0,0.0,0.0,-4.652766159430982,0.0,0.0,0.0,0.0,0.0,-6.402957,0.0206547,0.0757339,-0.0206547,-0.0413094,-0.008270329670226,-0.039929914529413996,-0.0058949938949199995,0.000758852258868,0.0017074175824530002,0.001276251526278,9.216999999999999,2.4186609998650965,0.3832180000244989,0.12383200009935535,17.10463899962633
pid,05:01:56.610,5,-90.088,-90.827,0.385,-90.053,3.463,0.001,0.0,-2.18277636372223,0.0,0.0,0.0,0.0,-90.088,-100.0,0.385,-90.053,3.463,0.001,-90.088,-95.46701154083395,0.385,-90.053,3.463,0.001,0.0,-115.09213089467525,0.0,0.0,0.0,0.0,0.0,-4.640011540833953,0.0,0.0,0.0,0.0,0.0068849,-6.8711302000000005,0.0068849,0.0068849,-0.0068849,0.0206547,-0.00771550671541,-0.03667032966987,-0.005582905982836,0.001621184371218,0.0017074175824530002,0.000362179487187,9.173000000000002,1.838443999986339,1.6175580003618961,0.13283199950819835,16.440072000477812
pid,05:01:56.630,6,-90.088,-90.945,0.386,-90.052,3.463,0.001,0.0,-5.854017056005429,0.049610314033946466,0.0496103140334783,0.0,0.0,-90.088,-100.0,0.385,-90.053,3.463,0.001,-90.088,-95.53513766730212,0.3854989921450615,-90.05250100785494,3.463,0.001,0.0,-113.85908556695259,-0.012427578508486616,-0.012427578508369336,0.0,0.0,0.0,-4.59013766730213,-0.0005010078549385066,-0.0005010078549361197,0.0,0.0,0.0137698,-6.623273800000001,-0.1170433,-0.0413094,-0.0068849,-0.0,-0.00771550671541,-0.021169963369697998,-0.005305494505428,0.00068986568988,0.0023282967033450004,0.0008968253968440001,9.055000110436229,1.923295000779035,0.3201260005880613,0.09122099982050713,17.709003000163648
pid,05:01:56.650,7,-90.089,-91.072,0.386,-90.051,3.463,0.001,-0.0496214655847908,-6.301926129238815,0.0,0.0496214655847908,0.0,0.0,-90.088,-100.0,0.385,-90.053,3.463,0.001,-90.08849899237156,-95.6076337740221,0.38549798451662065,-90.05200302311182,3.463,0.001,0.01243036639619782,-112.53239761088894,-0.012455372015711154,-0.024885738411791432,0.0,0.0,0.0005010076284435172,-4.535633774022102,-0.0005020154833793589,-0.0010030231118207666,0.0,0.0,0.0068849,-6.5750795,-0.0137698,-0.0895037,-0.034424500000000004,-0.0,-0.007420757020664,-0.009848107447983999,-0.0045252747252179995,-0.0008968253968440001,0.0017074175824530002,0.0009658119658320001,8.928000336021496,1.9572569999581901,0.31396000031236326,0.11888799963344354,17.648003999966022
pid,05:01:56.670,8,-90.088,-91.197,0.385,-90.051,3.463,0.001,0.049573373676484817,-6.196671709531014,-0.04957337367624815,0.0,0.0,0.0,-90.088,-100.0,0.385,-90.053,3.463,0.001,-90.08799899237155,-95.67901253226185,0.38499798451662065,-90.05200504032373,3.463,0.001,2.4975770612827277e-05,-111.09424104172179,-4.995715535173983e-05,-0.02491161976403027,0.0,0.0,1.007628441129782e-06,-4.482012532261848,-2.015483379358418e-06,-0.001005040323732942,0.0,0.0,-0.0068849,-7.3048789,0.0137698,0.0137698,0.0137698,0.0137698,-0.00771550671541,-0.011633943833798,-0.004785347985288,-0.000189713064717,0.001500457875489,0.001276251526278,8.80300022719527,1.955943000211846,0.29049699969618814,0.11747999997169245,17.682816999695206
pid,05:01:56.690,9,-90.088,-91.329,0.385,-90.054,3.463,0.001,0.0,-6.539666052444618,0.0,-0.14862877391921187,0.0,0.0,-90.088,-100.0,0.385,-90.053,3.463,0.001,-90.08799899237155,-95.75376352956675,0.38499798451662065,-90.05350403109789,3.463,0.001,2.496042995523376e-05,-109.60786304698803,-4.9926470588235334e-05,0.012285874970529843,0.0,0.0,1.007628441129782e-06,-4.424763529566761,-2.015483379358418e-06,0.0004959689021148961,0.0,0.0,0.0068849,-5.8590499000000005,0.0068849,-0.0068849,0.0275396,0.0206547,-0.007992918192818,-0.022869108668822,-0.00615506715499,0.000620879120892,0.0019143772894170002,0.00051739926741,8.671000057663482,2.0947000002706773,0.30066399995121174,0.11423999967519194,17.533318999994663
pid,05:01:56.710,10,-90.088,-91.478,0.385,-90.054,3.463,0.001,0.0,-7.383552840821869,0.0,0.0,0.0,0.0,-90.088,-100.0,0.385,-90.053,3.463,0.001,-90.08799899237155,-95.83686222200775,0.38499798451662065,-90.05350302209854,3.463,0.001,2.4966033010126182e-05,-107.99962933575934,-4.993767795749109e-05,0.01231363287301741,0.0,0.0,1.007628441129782e-06,-4.358862222007758,-2.015483379358418e-06,0.0004969779014629694,0.0,0.0,-0.0137698,-5.989863000000001,-0.0137698,-0.0413094,0.0206547,-0.0206547,-0.007992918192818,-0.030185836385458,-0.005877655677582,0.0008278388278560001,0.0009658119658320001,0.000810592185609,8.52200005867168,2.0726080001622904,0.29573699976026546,0.11735099997167708,17.56404199932149
