controller,timestamp,loop,q0,q1,q2,q3,q4,q5,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,target0,target1,target2,target3,target4,target5,cmd_pos0,cmd_pos1,cmd_pos2,cmd_pos3,cmd_pos4,cmd_pos5,cmd_vel0,cmd_vel1,cmd_vel2,cmd_vel3,cmd_vel4,cmd_vel5,u0,u1,u2,u3,u4,u5,hal_vel0,hal_vel1,hal_vel2,hal_vel3,hal_vel4,hal_vel5,hal_torq0,hal_torq1,hal_torq2,hal_torq3,hal_torq4,hal_torq5,err_norm,poll_ms,solve_ms,hal_write_ms,sleep_ms
invdyn,01:08:13.226,1,-90.005,-68.785,0.147,-90.173,-0.397,-0.251,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,-90.0,0.0,0.0,-90.0025,-76.785,0.0735,-90.0865,-0.1985,-0.1255,0.06249999999994316,-200.0,-1.8375,2.1625000000000227,4.9625,3.1374999999999997,0.0024999999999977263,-8.0,-0.0735,0.08650000000000091,0.1985,0.1255,0.0413094,0.2409715,-0.0,-0.0068849,0.0137698,0.0275396,-0.014130647130469999,-0.0014910866910679999,0.009431990231872,0.0024662698413210004,-0.001414224664254,0.002173076923122,21.22141366638896,6.882597000185342,0.3551620002326672,0.16023900025174953,12.75277999957325
invdyn,01:08:13.246,2,-90.005,-68.781,0.147,-90.173,-0.396,-0.251,0.0,0.19504308400521866,0.0,0.0,0.04876077100141835,0.0,-90.0,-90.0,0.0,-90.0,0.0,0.0,-90.0025,-76.781,0.0735,-90.0865,-0.198,-0.1255,0.06095096375171745,-195.04308400567322,-1.7919583343021228,2.108903345811364,4.827316329140412,3.059738380338999,0.0024999999999977263,-8.0,-0.0735,0.08650000000000091,0.198,0.1255,0.0275396,0.2960507,-0.0206547,0.0206547,-0.0619641,0.0137698,-0.014338705738526,-0.001785836385814,0.00884249084238,0.0017419108669470002,-0.001190018315043,0.001241758241784,21.22539377726594,5.477411000356369,1.3481490004778607,0.17027500052790856,13.015646999519959
invdyn,01:08:13.266,3,-90.005,-68.776,0.147,-90.173,-0.397,-0.251,0.0,0.2458963956574412,0.0,0.0,-0.049179279131393236,0.0,-90.0,-90.0,0.0,-90.0,0.0,0.0,-90.0025,-76.776,0.0735,-90.0865,-0.1985,-0.1255,0.061474098914185586,-196.71711652557278,-1.8073385080787,2.127003822432778,4.881043453790775,3.085999765494923,0.0024999999999977263,-8.0,-0.0735,0.08650000000000091,0.1985,0.1255,-0.0137698,0.2685111,-0.0137698,0.0206547,0.0413094,0.0137698,-0.014338705738526,-0.0033636141635719997,0.008651770451661999,0.0017419108669470002,-0.002155830280875,0.001483211233242,21.23041094750641,5.951571999503358,0.3608470005929121,0.16031299946916988,13.549713999964297
invdyn,01:08:13.287,4,-90.005,-68.771,0.147,-90.173,-0.397,-0.251,0.0,0.24587909768771898,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,-90.0,0.0,0.0,-90.0025,-76.771,0.0735,-90.0865,-0.1985,-0.1255,0.061469774421929746,-196.70327815035407,-1.807211368006378,2.126854195000726,4.880700089105661,3.0857826759836797,0.0024999999999977263,-8.0,-0.0735,0.08650000000000091,0.1985,0.1255,0.0,-0.3855544,-0.0206547,-0.0206547,0.0137698,0.0206547,-0.014962881562694,-0.051962637361985996,0.0072300366299459995,0.0018453907204290002,0.00046565934066900006,0.0009485653235850001,21.235409438011782,5.997756000397203,1.435813999705715,0.18310800078324974,12.395024999932502
invdyn,01:08:13.307,5,-90.005,-68.766,0.147,-90.174,-0.397,-0.251,0.0,0.2469213017470556,0.0,-0.04938426034969184,0.0,0.0,-90.0,-90.0,0.0,-90.0,0.0,0.0,-90.0025,-76.766,0.0735,-90.087,-0.1985,-0.1255,0.0617303254367639,-197.53704139782414,-1.8148715678425091,2.148215325201419,4.901387839683512,3.098862336928366,0.0024999999999977263,-8.0,-0.0735,0.0870000000000033,0.1985,0.1255,0.0,-5.3633371,0.0275396,0.034424500000000004,0.0275396,0.0137698,-0.014026617826442,-0.07883687423588599,0.00667521367513,0.00206959706964,-0.000362179487187,0.001086538461561,21.240416097619175,5.929293999543006,0.3754760000447277,0.1706829998511239,13.555807000557252
invdyn,01:08:13.327,6,-90.005,-68.768,0.147,-90.173,-0.395,-0.25,0.0,-0.098960774829597,0.0,0.04948038741515008,0.09896077482982774,0.04948038741491387,-90.0,-90.0,0.0,-90.0,0.0,0.0,-90.0025,-76.768,0.0735,-90.0865,-0.1975,-0.125,0.061850484268586026,-197.92154965965528,-1.8184042374980829,2.1400267556950454,4.886188257222741,3.092524213432114,0.0024999999999977263,-8.0,-0.0735,0.08650000000000091,0.1975,0.125,-0.0481943,-9.5768959,0.06884900000000001,0.0481943,0.0550792,0.0481943,-0.014026617826442,-0.091233699632556,0.00554822954816,0.001000305250326,0.000776098901115,0.000793345543362,21.238359447000608,6.375807000040368,0.5315859998518135,0.16985000002023298,12.93761099987023
invdyn,01:08:13.347,7,-90.005,-68.81,0.147,-90.173,-0.394,-0.249,0.0,-2.0724796235294902,0.0,0.0,0.04934475294117652,0.04934475294117652,-90.0,-90.0,0.0,-90.0,0.0,0.0,-90.0025,-76.81,0.0735,-90.0865,-0.197,-0.1245,0.06168094117641449,-197.3790117647059,-1.8134196705882353,2.1341605647059048,4.860458164705882,3.071710870588235,0.0024999999999977263,-8.0,-0.0735,0.08650000000000091,0.197,0.1245,-0.0275396,-11.7249847,0.0137698,0.0826188,0.0413094,0.0481943,-0.014442735042554,-0.08464517704411599,0.004178510378458,0.001259004884031,3.4493284494e-05,0.000396672771681,21.196341665485576,6.954170000426529,0.33716300004016375,0.1682940001046518,12.574152000524919
invdyn,01:08:13.368,8,-90.005,-68.978,0.148,-90.172,-0.394,-0.249,0.0,-8.31064622352181,0.04946813228287026,0.04946813228310642,0.0,0.0,-90.0,-90.0,0.0,-90.0,0.0,0.0,-90.0025,-76.978,0.074,-90.086,-0.197,-0.1245,0.061835165353531535,-197.87252913148086,-1.830320894466198,2.1271296881633828,4.872611029862717,3.079391234608671,0.0024999999999977263,-8.0,-0.074,0.08599999999999852,0.197,0.1245,0.0206547,-13.4117852,0.0068849,-0.0,0.0413094,0.0206547,-0.013922588522413999,-0.062920390719602,0.0033636141635719997,0.00048290598291600006,0.000551892551904,0.000638125763139,21.02839114150201,6.711283999720763,0.33229200016648974,0.1683489999777521,12.82874200023798
invdyn,01:08:13.388,9,-90.005,-69.177,0.15,-90.17,-0.393,-0.248,0.0,-9.831171919906378,0.09880574793875156,0.0988057479385212,0.04940287396937578,0.04940287396937578,-90.0,-90.0,0.0,-90.0,0.0,0.0,-90.0025,-77.177,0.075,-90.08500000000001,-0.1965,-0.124,0.06175359246166351,-197.61149587750293,-1.85260777385159,2.0996221436984897,4.853832367491166,3.0629781861012955,0.0024999999999977263,-8.0,-0.075,0.08499999999999375,0.1965,0.124,-0.0068849,-13.6596416,-0.0275396,-0.0550792,0.0895037,-0.0,-0.014234676434498,-0.0468131868126,0.00225396825394,0.0016556776557120003,0.0019316239316640002,5.173992674100001e-05,20.82941926698869,3.5212319999118336,0.3734210004040506,0.30255099954956677,15.84944399928645
invdyn,01:08:13.408,10,-90.005,-69.445,0.15,-90.17,-0.392,-0.248,0.0,-13.213822730050586,0.0,0.0,0.04930530869422114,0.0,-90.0,-90.0,0.0,-90.0,0.0,0.0,-90.0025,-77.445,0.075,-90.08500000000001,-0.196,-0.124,0.061631635867720316,-197.2212347768844,-1.848949076033291,2.0954756195044175,4.831920252033667,3.0569291390417077,0.0024999999999977263,-8.0,-0.075,0.08499999999999375,0.196,0.124,0.0275396,-12.737065000000001,0.0068849,0.0550792,0.0826188,0.0275396,-0.013593162392991999,-0.042547985347452,0.0016818070817859999,0.000672619047633,0.000258699633705,-0.0009658119658320001,20.561483847232434,5.970163000711182,0.3261259998907917,0.16220200086536352,13.604788000520784
