controller,timestamp,loop,q0,q1,q2,q3,q4,q5,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,target0,target1,target2,target3,target4,target5,cmd_pos0,cmd_pos1,cmd_pos2,cmd_pos3,cmd_pos4,cmd_pos5,cmd_vel0,cmd_vel1,cmd_vel2,cmd_vel3,cmd_vel4,cmd_vel5,u0,u1,u2,u3,u4,u5,hal_vel0,hal_vel1,hal_vel2,hal_vel3,hal_vel4,hal_vel5,hal_torq0,hal_torq1,hal_torq2,hal_torq3,hal_torq4,hal_torq5,err_norm,poll_ms,solve_ms,hal_write_ms,sleep_ms
pid,05:00:54.304,1,-90.088,-49.228,0.384,-90.035,3.464,0.001,0.0,0.0,0.0,0.0,0.0,0.0,-90.088,-40.0,0.384,-90.035,3.464,0.001,-90.088,-44.604772,0.384,-90.035,3.464,0.001,0.0,115.58070000000002,0.0,0.0,0.0,0.0,0.0,4.623228000000005,0.0,0.0,0.0,0.0,-0.0137698,0.1652376,-0.0,0.0068849,-0.0068849,-0.0,-0.009934798534674,-0.020840537240276,-0.0044905982905419995,0.001414224664254,0.000655372405386,0.000586385836398,9.228000000000002,2.190366999457183,0.313979000566178,0.1266289991690428,17.493078999905265
pid,05:00:54.325,2,-90.088,-49.225,0.384,-90.035,3.464,0.001,0.0,0.1441077465756617,0.0,0.0,0.0,0.0,-90.088,-40.0,0.384,-90.035,3.464,0.001,-90.088,-44.59366980974388,0.384,-90.035,3.464,0.001,0.0,111.2350928942691,0.0,0.0,0.0,0.0,0.0,4.631330190256122,0.0,0.0,0.0,0.0,-0.0137698,0.1583527,0.0275396,0.0275396,0.0275396,-0.0068849,-0.009379975579857999,-0.021776800976528,-0.003935775335726,0.001086538461561,3.4493284494e-05,0.0008278388278560001,9.225000000000001,9.435680999558826,0.9503050005150726,0.19081300069956342,9.465754999837372
pid,05:00:54.346,3,-90.088,-49.222,0.384,-90.035,3.464,0.001,0.0,0.14494772491648977,0.0,0.0,0.0,0.0,-90.088,-40.0,0.384,-90.035,3.464,0.001,-90.088,-44.58262636916351,0.384,-90.035,3.464,0.001,0.0,112.07777547121302,0.0,0.0,0.0,0.0,0.0,4.639373630836488,0.0,0.0,0.0,0.0,0.0275396,0.14458290000000001,-0.0481943,0.0275396,0.0550792,-0.0137698,-0.009379975579857999,-0.019089377289138,-0.003953113553064,0.001396978022007,0.000569139194151,0.00051739926741,9.222000000000001,2.08936699982587,0.33553399953234475,0.13203500020608772,17.533244999867748
pid,05:00:54.366,4,-90.088,-49.219,0.384,-90.035,3.464,0.001,0.0,0.1467087025464098,0.0,0.0,0.0,0.0,-90.088,-40.0,0.384,-90.035,3.464,0.001,-90.088,-44.57170054795456,0.384,-90.035,3.464,0.001,0.0,113.63321215903369,0.0,0.0,0.0,0.0,0.0,4.647299452045438,0.0,0.0,0.0,0.0,-0.0206547,4.6955018,-0.0206547,-0.0413094,0.034424500000000004,-0.0481943,-0.009119902319787999,-0.014026617826442,-0.004213186813134,0.001414224664254,0.001276251526278,0.0008968253968440001,9.219000000000001,2.4357529991902993,0.3489399996396969,0.25786800051719183,17.034361000696663
pid,05:00:54.386,5,-90.088,-49.216,0.384,-90.035,3.464,0.001,0.0,0.1476018721627289,0.0,0.0,0.0,0.0,-90.088,-40.0,0.384,-90.035,3.464,0.001,-90.088,-44.560834813091276,0.384,-90.035,3.464,0.001,0.0,114.51851613574354,0.0,0.0,0.0,0.0,0.0,4.655165186908725,0.0,0.0,0.0,0.0,0.0137698,6.2514892,0.0275396,-0.0619641,0.0275396,0.0068849,-0.009934798534674,-0.013887912087738,-0.004213186813134,0.001103785103808,0.001086538461561,0.001121031746055,9.216000000000001,2.3302350000449223,0.33292200077994494,0.2695719995244872,17.12195299933228
pid,05:00:54.407,6,-90.088,-49.169,0.384,-90.035,3.464,0.001,0.0,2.321388224211227,0.0,0.0,0.0,0.0,-90.088,-40.0,0.384,-90.035,3.464,0.001,-90.088,-44.52805280253601,0.384,-90.035,3.464,0.001,0.0,114.61106567423454,0.0,0.0,0.0,0.0,0.0,4.640947197463987,0.0,0.0,0.0,0.0,-0.0068849,6.7747416000000005,-0.0206547,0.0068849,0.0137698,0.0068849,-0.009379975579857999,-0.015292307692116,-0.004230525030472,0.0016729242979590003,0.001500457875489,0.001121031746055,9.168999999999997,6.189251000250806,0.31631199999537785,0.13481299993145512,13.41210200007481
pid,05:00:54.427,7,-90.088,-49.039,0.384,-90.036,3.464,0.001,0.0,6.427900550532035,0.0,-0.049445388850484245,0.0,0.0,-90.088,-40.0,0.384,-90.035,3.464,0.001,-90.088,-44.45391241532278,0.384,-90.03549898878336,3.464,0.001,0.0,113.35571926840512,0.0,0.012386347212621182,0.0,0.0,0.0,4.585087584677218,0.0,0.0005010112166417002,0.0,0.0,-0.0137698,7.6766635,0.034424500000000004,0.0137698,0.0206547,-0.0481943,-0.009952136752012,-0.027238339437998,-0.004230525030472,0.001138278388302,0.0017936507936880002,0.00051739926741,9.039000055315855,2.5203440000041155,0.3057190006074961,0.12129500009905314,17.108971999732603
pid,05:00:54.447,8,-90.088,-48.918,0.384,-90.037,3.464,0.001,0.0,5.984091309987139,0.0,-0.04945530008277358,0.0,0.0,-90.088,-40.0,0.384,-90.035,3.464,0.001,-90.088,-44.384396192607404,0.384,-90.03599696675539,3.464,0.001,0.0,112.10536837496755,0.0,0.02480265505258866,0.0,0.0,0.0,4.533603807392595,0.0,0.001003033244614926,0.0,0.0,0.0137698,7.9727142,0.0206547,0.0068849,0.0275396,-0.0413094,-0.008825152625042,-0.033930891330466,-0.003086202686164,0.002017857142899,0.0027767094017670003,0.000655372405386,8.918000224265528,2.4153459999070037,0.3094969997619046,0.126647000797675,17.18213700041815
pid,05:00:54.468,9,-90.088,-48.771,0.384,-90.036,3.464,0.001,0.0,7.23130417648914,0.0,0.04919254541852887,0.0,0.0,-90.088,-40.0,0.384,-90.035,3.464,0.001,-90.088,-44.30198122396183,0.384,-90.03549595034123,3.464,0.001,0.0,109.92120455773313,0.0,0.01239774286624969,0.0,0.0,0.0,4.469018776038169,0.0,0.0005040496587724874,0.0,0.0,-0.0275396,7.5665051000000005,-0.0550792,0.0137698,-0.0,0.0068849,-0.009657387057266,-0.039929914529413996,-0.003953113553064,0.001155525030549,0.001500457875489,0.000810592185609,8.771000057006043,2.565806999882625,0.2801259997795569,0.09277699973608833,17.232359000445285
pid,05:00:54.488,10,-90.089,-48.613,0.384,-90.036,3.464,0.001,-0.04868718948809058,7.6925759390816415,0.0,0.0,0.0,0.0,-90.088,-40.0,0.384,-90.035,3.464,0.001,-90.08849897303581,-44.21413598141384,0.384,-90.03549492337703,3.464,0.001,0.012196797372022764,107.08416300211265,0.0,0.012295380624101055,0.0,0.0,0.0005010269641871901,4.39886401858616,0.0,0.0005050766229715009,0.0,0.0,-0.0206547,6.7334322,0.0137698,0.0068849,0.034424500000000004,0.0068849,-0.009379975579857999,-0.036132844932392,-0.0044905982905419995,0.001396978022007,0.001086538461561,0.001276251526278,8.613000116103564,2.6480100004846463,0.42286600000807084,0.18146099955629325,16.912344000047597
