controller,timestamp,loop,q0,q1,q2,q3,q4,q5,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,target0,target1,target2,target3,target4,target5,cmd_pos0,cmd_pos1,cmd_pos2,cmd_pos3,cmd_pos4,cmd_pos5,cmd_vel0,cmd_vel1,cmd_vel2,cmd_vel3,cmd_vel4,cmd_vel5,u0,u1,u2,u3,u4,u5,hal_vel0,hal_vel1,hal_vel2,hal_vel3,hal_vel4,hal_vel5,hal_torq0,hal_torq1,hal_torq2,hal_torq3,hal_torq4,hal_torq5,err_norm,poll_ms,pd_solve_ms,hal_write_ms,sleep_ms
pd,00:03:59.208,1,-90.001,-30.004,0.002,-89.967,-0.001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.001,-40.0,0.002,-89.967,-0.001,-0.0,-90.001,-35.002,0.002,-89.967,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.998000000000001,0.0,0.0,0.0,0.0,0.0068849,-0.0481943,-0.0068849,-0.0481943,0.0068849,-0.06884900000000001,-0.007559462759367999,-0.07672161172065,-0.022036874236598,0.007295329670481,0.00017246642247,0.0016556776557120003,9.995999999999999,2.046034999693802,0.2144790000784269,0.11261000008744304,0.0
pd,00:03:59.211,2,-90.001,-30.004,0.002,-89.967,-0.001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.001,-40.0,0.002,-89.967,-0.001,-0.0,-90.001,-35.002,0.002,-89.967,-0.001,0.0,0.0,-945.3924141787678,0.0,0.0,0.0,0.0,0.0,-4.998000000000001,0.0,0.0,0.0,0.0,0.0068849,-0.0481943,-0.0068849,-0.0481943,0.0068849,-0.06884900000000001,-0.007559462759367999,-0.07672161172065,-0.022036874236598,0.007295329670481,0.00017246642247,0.0016556776557120003,9.995999999999999,2.2817930002929643,0.25712699971336406,0.1159249995907885,0.0
pd,00:03:59.214,3,-90.001,-30.004,0.002,-89.967,-0.001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.001,-40.0,0.002,-89.967,-0.001,-0.0,-90.001,-35.002,0.002,-89.967,-0.001,0.0,0.0,-835.2510714797991,0.0,0.0,0.0,0.0,0.0,-4.998000000000001,0.0,0.0,0.0,0.0,0.0068849,-0.0481943,-0.0068849,-0.0481943,0.0068849,-0.06884900000000001,-0.007559462759367999,-0.07672161172065,-0.022036874236598,0.007295329670481,0.00017246642247,0.0016556776557120003,9.995999999999999,1.9317779997436446,0.25033099973370554,0.12060999961249763,0.0
pd,00:03:59.218,4,-90.001,-30.004,0.002,-89.967,-0.001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.001,-40.0,0.002,-89.967,-0.001,-0.0,-90.001,-35.002,0.002,-89.967,-0.001,0.0,0.0,-663.9785693652602,0.0,0.0,0.0,0.0,0.0,-4.998000000000001,0.0,0.0,0.0,0.0,0.0068849,-0.0481943,-0.0068849,-0.0481943,0.0068849,-0.06884900000000001,-0.007559462759367999,-0.07672161172065,-0.022036874236598,0.007295329670481,0.00017246642247,0.0016556776557120003,9.995999999999999,2.486159999989468,0.2837570000338019,0.16868400007297168,0.0
pd,00:03:59.221,5,-90.001,-30.004,0.002,-89.967,-0.001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.001,-40.0,0.002,-89.967,-0.001,-0.0,-90.001,-35.002,0.002,-89.967,-0.001,0.0,0.0,-814.6716692056582,0.0,0.0,0.0,0.0,0.0,-4.998000000000001,0.0,0.0,0.0,0.0,0.0068849,-0.0481943,-0.0068849,-0.0481943,0.0068849,-0.06884900000000001,-0.007559462759367999,-0.07672161172065,-0.022036874236598,0.007295329670481,0.00017246642247,0.0016556776557120003,9.995999999999999,1.8411300002298958,0.22459100000560284,0.6948449999981676,0.0
pd,00:03:59.225,6,-90.001,-30.004,0.002,-89.967,-0.001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.001,-40.0,0.002,-89.967,-0.001,-0.0,-90.001,-35.002,0.002,-89.967,-0.001,0.0,0.0,-859.9906215950114,0.0,0.0,0.0,0.0,0.0,-4.998000000000001,0.0,0.0,0.0,0.0,0.0550792,0.0550792,-0.034424500000000004,-0.0068849,0.0275396,-0.0068849,-0.008634432234324,-0.07614945054849599,-0.021794139193866,0.006001831501956,0.00017246642247,0.001224511599537,9.995999999999999,5.53092599966476,0.439717999597633,0.11483199978101766,0.0
pd,00:03:59.230,7,-90.001,-30.004,0.002,-89.967,-0.001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.001,-40.0,0.002,-89.967,-0.001,-0.0,-90.001,-35.002,0.002,-89.967,-0.001,0.0,0.0,-403.75830878274263,0.0,0.0,0.0,0.0,0.0,-4.998000000000001,0.0,0.0,0.0,0.0,0.0550792,0.0550792,-0.034424500000000004,-0.0068849,0.0275396,-0.0068849,-0.008634432234324,-0.07614945054849599,-0.021794139193866,0.006001831501956,0.00017246642247,0.001224511599537,9.995999999999999,1.75685300018813,0.17290599998887046,0.06555500021931948,0.0
pd,00:03:59.232,8,-90.001,-30.004,0.002,-89.967,-0.001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.001,-40.0,0.002,-89.967,-0.001,-0.0,-90.001,-35.002,0.002,-89.967,-0.001,0.0,0.0,-1210.062998845532,0.0,0.0,0.0,0.0,0.0,-4.998000000000001,0.0,0.0,0.0,0.0,0.0550792,0.0550792,-0.034424500000000004,-0.0068849,0.0275396,-0.0068849,-0.008634432234324,-0.07614945054849599,-0.021794139193866,0.006001831501956,0.00017246642247,0.001224511599537,9.995999999999999,1.8284080001649272,0.251923000178067,0.12836899986723438,0.0
pd,00:03:59.234,9,-90.001,-30.004,0.002,-89.967,-0.001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.001,-40.0,0.002,-89.967,-0.001,-0.0,-90.001,-35.002,0.002,-89.967,-0.001,0.0,0.0,-1058.7440096969694,0.0,0.0,0.0,0.0,0.0,-4.998000000000001,0.0,0.0,0.0,0.0,0.0550792,0.0550792,-0.034424500000000004,-0.0068849,0.0275396,-0.0068849,-0.008634432234324,-0.07614945054849599,-0.021794139193866,0.006001831501956,0.00017246642247,0.001224511599537,9.995999999999999,1.8419630000607867,0.1976829998966423,0.08740699968257104,0.0
pd,00:03:59.236,10,-90.001,-30.004,0.002,-89.967,-0.001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.001,-40.0,0.002,-89.967,-0.001,-0.0,-90.001,-35.002,0.002,-89.967,-0.001,0.0,0.0,-1130.9414864048338,0.0,0.0,0.0,0.0,0.0,-4.998000000000001,0.0,0.0,0.0,0.0,0.0550792,0.0550792,-0.034424500000000004,-0.0068849,0.0275396,-0.0068849,-0.008634432234324,-0.07614945054849599,-0.021794139193866,0.006001831501956,0.00017246642247,0.001224511599537,9.995999999999999,1.7434640003557433,0.1509989997430239,0.0664629997118027,0.0
