controller,timestamp,loop,q0,q1,q2,q3,q4,q5,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,target0,target1,target2,target3,target4,target5,cmd_pos0,cmd_pos1,cmd_pos2,cmd_pos3,cmd_pos4,cmd_pos5,cmd_vel0,cmd_vel1,cmd_vel2,cmd_vel3,cmd_vel4,cmd_vel5,u0,u1,u2,u3,u4,u5,hal_vel0,hal_vel1,hal_vel2,hal_vel3,hal_vel4,hal_vel5,hal_torq0,hal_torq1,hal_torq2,hal_torq3,hal_torq4,hal_torq5,err_norm,poll_ms,pd_solve_ms,hal_write_ms,sleep_ms
pd,00:08:48.793,1,-90.0,-90.0,-0.0,-70.033,0.076,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,-0.0,-80.0,0.08,-0.001,-90.0,-90.0,0.0,-75.01650000000001,0.078,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9835000000000065,0.0020000000000000018,0.0,0.0413094,0.0,0.0068849,-0.0068849,-0.0275396,-0.0,-0.0025140415140099998,-0.005322832722766,-0.005600244200174,0.00103479853482,-0.0022248168498630004,0.001586691086724,9.967000802648707,2.01818400000775,0.2237749999949301,0.1570910003465542,0.0
pd,00:08:48.796,2,-90.0,-90.0,-0.0,-70.033,0.076,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,-0.0,-80.0,0.08,-0.001,-90.0,-90.0,0.0,-75.01650000000001,0.078,-0.001,0.0,0.0,0.0,-871.0749284880812,0.34958359726621135,0.0,0.0,0.0,0.0,-4.9835000000000065,0.0020000000000000018,0.0,0.0413094,0.0,0.0068849,-0.0068849,-0.0275396,-0.0,-0.0025140415140099998,-0.005322832722766,-0.005600244200174,0.00103479853482,-0.0022248168498630004,0.001586691086724,9.967000802648707,2.4346059999516,0.24023900004976895,0.10779600006571854,0.0
pd,00:08:48.799,3,-90.0,-90.0,-0.0,-70.033,0.076,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,-0.0,-80.0,0.08,-0.001,-90.0,-90.0,0.0,-75.01650000000001,0.078,-0.001,0.0,0.0,0.0,-789.6605207404608,0.3169100113335855,0.0,0.0,0.0,0.0,-4.9835000000000065,0.0020000000000000018,0.0,0.0413094,0.0,0.0068849,-0.0068849,-0.0275396,-0.0,-0.0025140415140099998,-0.005322832722766,-0.005600244200174,0.00103479853482,-0.0022248168498630004,0.001586691086724,9.967000802648707,1.9522029997460777,0.2382020002187346,0.11192500005563488,0.0
pd,00:08:48.802,4,-90.0,-90.0,-0.0,-70.033,0.076,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,-0.0,-80.0,0.08,-0.001,-90.0,-90.0,0.0,-75.01650000000001,0.078,-0.001,0.0,0.0,0.0,-726.8853103352343,0.2917167895395746,0.0,0.0,0.0,0.0,-4.9835000000000065,0.0020000000000000018,0.0,-0.0068849,-0.0275396,0.0068849,-0.0619641,0.0137698,-0.0068849,-0.0024620268619959997,-0.004369230769176,-0.005790964590891999,-0.0008623321123500001,-0.0024662698413210004,0.001293498168525,9.967000802648707,5.396410999765067,0.36555199994836585,0.14099899999564514,0.0
pd,00:08:48.808,5,-90.0,-90.0,0.0,-70.033,0.076,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,-0.0,-80.0,0.08,-0.001,-90.0,-90.0,0.0,-75.01650000000001,0.078,-0.001,0.0,0.0,-0.0,-412.3232332031404,0.16547536197577636,0.0,0.0,0.0,0.0,-4.9835000000000065,0.0020000000000000018,0.0,-0.0068849,-0.0275396,0.0068849,-0.0619641,0.0137698,-0.0068849,-0.0024620268619959997,-0.004369230769176,-0.005790964590891999,-0.0008623321123500001,-0.0024662698413210004,0.001293498168525,9.967000802648707,2.6523819997237297,0.26205299991488573,0.2150170003005769,0.0
pd,00:08:48.812,6,-90.0,-90.0,0.0,-70.033,0.076,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,-0.0,-80.0,0.08,-0.001,-90.0,-90.0,0.0,-75.01650000000001,0.078,-0.001,0.0,0.0,-0.0,-751.9899979853216,0.3017919125053967,0.0,0.0,0.0,0.0,-4.9835000000000065,0.0020000000000000018,0.0,-0.0068849,-0.0275396,0.0068849,-0.0619641,0.0137698,-0.0068849,-0.0024620268619959997,-0.004369230769176,-0.005790964590891999,-0.0008623321123500001,-0.0024662698413210004,0.001293498168525,9.967000802648707,1.9327029999658407,0.2619230003801931,0.4032739998365287,0.0
pd,00:08:48.814,7,-90.0,-90.0,0.0,-70.033,0.076,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,-0.0,-80.0,0.08,-0.001,-90.0,-90.0,0.0,-75.01650000000001,0.078,-0.001,0.0,0.0,-0.0,-890.8248373678827,0.35750971701329726,0.0,0.0,0.0,0.0,-4.9835000000000065,0.0020000000000000018,0.0,-0.0068849,-0.0275396,0.0068849,-0.0619641,0.0137698,-0.0068849,-0.0024620268619959997,-0.004369230769176,-0.005790964590891999,-0.0008623321123500001,-0.0024662698413210004,0.001293498168525,9.967000802648707,8.21497700007967,0.28475700037233764,0.13349799974093912,0.0
pd,00:08:48.823,8,-90.0,-90.0,0.0,-70.033,0.076,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,-0.0,-80.0,0.08,-0.001,-90.0,-90.0,0.0,-75.01650000000001,0.078,-0.001,0.0,0.0,-0.0,-284.4781150851978,0.11416800043551646,0.0,0.0,0.0,0.0,-4.9835000000000065,0.0020000000000000018,0.0,-0.0137698,-0.034424500000000004,0.034424500000000004,0.0206547,-0.0275396,-0.0137698,-0.0020285714285459997,-0.005270818070752,-0.005045421245358,0.001448717948748,-0.002345543345592,0.0017419108669470002,9.967000802648707,6.548882000060985,0.28342300038275425,0.1411289999850851,0.0
pd,00:08:48.830,9,-90.0,-90.0,0.0,-70.033,0.076,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,-0.0,-80.0,0.08,-0.001,-90.0,-90.0,0.0,-75.01650000000001,0.078,-0.001,0.0,0.0,-0.0,-351.34663457271563,0.14100396691992212,0.0,0.0,0.0,0.0,-4.9835000000000065,0.0020000000000000018,0.0,-0.0137698,-0.034424500000000004,0.034424500000000004,0.0206547,-0.0275396,-0.0137698,-0.0020285714285459997,-0.005270818070752,-0.005045421245358,0.001448717948748,-0.002345543345592,0.0017419108669470002,9.967000802648707,5.332968000402616,0.27477499997985433,0.13288800028021797,0.0
pd,00:08:48.836,10,-90.0,-90.0,0.0,-70.033,0.076,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,-0.0,-80.0,0.08,-0.001,-90.0,-90.0,0.0,-75.01650000000001,0.078,-0.001,0.0,0.0,-0.0,-424.58488693885835,0.1703962624416008,0.0,0.0,0.0,0.0,-4.9835000000000065,0.0020000000000000018,0.0,-0.0137698,-0.034424500000000004,0.034424500000000004,0.0206547,-0.0275396,-0.0137698,-0.0020285714285459997,-0.005270818070752,-0.005045421245358,0.001448717948748,-0.002345543345592,0.0017419108669470002,9.967000802648707,3.7643710002157604,0.2893680002671317,0.1420730000063486,0.0
