controller,timestamp,loop,q0,q1,q2,q3,q4,q5,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,target0,target1,target2,target3,target4,target5,cmd_pos0,cmd_pos1,cmd_pos2,cmd_pos3,cmd_pos4,cmd_pos5,cmd_vel0,cmd_vel1,cmd_vel2,cmd_vel3,cmd_vel4,cmd_vel5,u0,u1,u2,u3,u4,u5,hal_vel0,hal_vel1,hal_vel2,hal_vel3,hal_vel4,hal_vel5,hal_torq0,hal_torq1,hal_torq2,hal_torq3,hal_torq4,hal_torq5,err_norm,poll_ms,solve_ms,hal_write_ms,sleep_ms
pid,05:39:05.333,1,0.001,-110.3,111.396,-90.187,-79.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.3,111.4,-90.1,-90.3,0.0,0.000499,-110.3,111.398004,-90.143413,-84.85092,0.0,-0.012525000000000001,0.0,0.05010000000006123,1.0896750000000412,-136.773,0.0,-0.000501,0.0,0.0020039999999994507,0.04358700000000226,-5.470920000000007,0.0,0.0,0.0619641,0.0275396,-0.0413094,0.0275396,0.0068849,0.010853724053587999,-0.003953113553064,-0.033826862026438,0.006157051282179001,0.0037770146520930002,0.001431471306501,10.920347338798342,2.2208669997780817,0.3123120004602242,0.1426090002496494,16.893116000574082
pid,05:39:05.353,2,0.0,-110.3,111.396,-90.188,-79.38,0.0,-0.04910040621378317,0.0,0.0,-0.04910040621401762,0.0,0.0,0.0,-110.3,111.4,-90.1,-90.3,0.0,-1.0000000000000002e-06,-110.3,111.39800807328606,-90.14382338770676,-84.86204007093428,0.0,-2.455020310689159e-05,0.0,0.04929860702627099,1.0845448043736288,-134.58519718155534,0.0,-1.0000000000000002e-06,0.0,0.00200807328606345,0.0441766122932421,-5.482040070934289,0.0,-0.0206547,0.034424500000000004,0.0481943,0.0137698,-0.0206547,0.0137698,0.010108180708054,-0.004265201465148,-0.034277655677226,0.005760378510498001,0.003035409035472,0.000810592185609,10.920355305574999,2.3805510008969577,0.4877360006503295,0.14127699978416786,17.05187500010652
pid,05:39:05.380,3,0.0,-110.3,111.396,-90.188,-79.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.3,111.4,-90.1,-90.3,0.0,-1.0000000000000002e-06,-110.3,111.39801345854187,-90.14370491207886,-84.87674181930542,0.0,-1.8569220007614867e-05,0.0,0.03738835464024332,0.8225252328644156,-102.07020816773955,0.0,-1.0000000000000002e-06,0.0,0.002013458541867408,0.04429508792114234,-5.496741819305427,0.0,0.0619641,-0.0137698,0.0206547,-0.0137698,-0.0275396,0.0068849,0.011165811965672,-0.004178510378458,-0.034433699633268,0.005656898657016,0.00241452991458,0.001190018315043,10.920355305574999,2.0105000003241003,0.3017939998244401,0.11349899978085887,17.67783099967346
pid,05:39:05.401,4,0.0,-110.3,111.396,-90.188,-79.379,0.0,0.0,0.0,0.0,0.0,0.04917466644735178,0.0,0.0,-110.3,111.4,-90.1,-90.3,0.0,-1.0000000000000002e-06,-110.3,111.39801752567674,-90.143615435112,-84.88734611424923,0.0,-2.45873332239079e-05,0.0,0.04960557610154491,1.0912980868995301,-135.43554142366395,0.0,-1.0000000000000002e-06,0.0,0.0020175256767345218,0.044384564888005684,-5.508346114249221,0.0,0.0481943,0.0,-0.034424500000000004,-0.0275396,-3.4149104,0.0068849,0.010506959706828,-0.0033462759462339997,-0.034988522588084,0.006398504273637,-0.004190934066021001,0.001052045177067,10.921355273041888,3.320190000522416,0.3493670010357164,0.13533200035453774,16.236733999903663
pid,05:39:05.421,5,0.0,-110.3,111.396,-90.188,-79.379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.3,111.4,-90.1,-90.3,0.0,-1.0000000000000002e-06,-110.3,111.39802156782532,-90.14352650784302,-84.89838219043732,0.0,-2.473931815500767e-05,0.0,0.05001220960251482,1.100243871935927,-136.54575202831182,0.0,-1.0000000000000002e-06,0.0,0.0020215678253237,0.04447349215698182,-5.519382190437312,0.0,0.0068849,0.0481943,0.0481943,0.0137698,-5.2876032,-0.0206547,0.010472283272152,-0.00312087912084,-0.03528327228283,0.006105311355438001,-0.0034148351649060005,0.00043116605617500006,10.921355273041888,10.114996000993415,0.463218000732013,4.363033000117866,5.055655001342529
pid,05:39:05.441,6,0.0,-110.3,111.396,-90.188,-79.519,0.0,0.0,0.0,0.0,0.0,-6.9243135266441325,0.0,0.0,-110.3,111.4,-90.1,-90.3,0.0,-1.0000000000000002e-06,-110.3,111.39802561154747,-90.14343754595565,-84.9792810325694,0.0,-2.4729691166586092e-05,0.0,0.05009274799246714,1.1020157261418648,-135.03106361820915,0.0,-1.0000000000000002e-06,0.0,0.0020256115474666103,0.04456245404435322,-5.460281032569398,0.0,0.0068849,0.0481943,0.0481943,0.0137698,-5.2876032,-0.0206547,0.010472283272152,-0.00312087912084,-0.03528327228283,0.006105311355438001,-0.0034148351649060005,0.00043116605617500006,10.781359886396512,3.513374000249314,0.5485869987751357,2.1474610002769623,13.813202000164893
pid,05:39:05.461,7,0.0,-110.3,111.396,-90.188,-79.624,0.0,0.0,0.0,0.0,0.0,-5.187301766783947,0.0,0.0,-110.3,111.4,-90.1,-90.3,0.0,-1.0000000000000002e-06,-110.3,111.39802965989495,-90.14334848231125,-85.04258607197522,0.0,-2.4701436984687872e-05,0.0,0.05013551599534985,1.102956650459465,-133.84686240300357,0.0,-1.0000000000000002e-06,0.0,0.0020296598949443023,0.044651517688748754,-5.418586071975227,0.0,0.0550792,0.0,0.0068849,0.0550792,-5.3771069,-0.0275396,0.010593650793518,-0.0020459096458839998,-0.034069597069169996,0.007053876679023001,-0.004173687423774,0.0009658119658320001,10.676363425811246,3.6092059999646153,1.2743759998556925,0.2116270006808918,14.601045999370399
pid,05:39:05.482,8,0.0,-110.3,111.396,-90.188,-79.733,0.0,0.0,0.0,0.0,0.0,-5.389356784156987,0.0,0.0,-110.3,111.4,-90.1,-90.3,0.0,-1.0000000000000002e-06,-110.3,111.39803370490456,-90.14325949209976,-85.10777197612047,0.0,-2.472182011080986e-05,0.0,0.05027688680897339,1.1060667879760533,-132.87414593027222,0.0,-1.0000000000000002e-06,0.0,0.002033704904562228,0.04474050790024364,-5.374771976120471,0.0,-0.0275396,0.0,0.0068849,-0.0481943,-8.2412253,0.0068849,0.010506959706828,-0.002583394383362,-0.034225641025212,0.00620879120892,-0.001638431013465,0.000810592185609,10.567367174466867,3.8539069992111763,0.4769389997818507,0.1888309998321347,15.499537999858148
pid,05:39:05.502,9,0.0,-110.3,111.396,-90.188,-79.883,0.0,0.0,0.0,0.0,0.0,-7.419869799037223,0.0,0.0,-110.3,111.4,-90.1,-90.3,0.0,-1.0000000000000002e-06,-110.3,111.3980377481022,-90.14317054175186,-85.19330147355318,0.0,-2.4732899330125486e-05,0.0,0.05039941867163439,1.1087624778753729,-131.33915175800786,0.0,-1.0000000000000002e-06,0.0,0.0020377481021967014,0.044829458248145215,-5.3103014735531815,0.0,0.0137698,0.0275396,-0.0,-0.0275396,-7.4150373,0.0068849,0.011217826617686,-0.0037970695970219997,-0.034225641025212,0.006519230769366001,-0.0037080280831050002,0.001121031746055,10.417372461422316,3.6175029999867547,0.47056899893505033,0.1901279993035132,15.721423998911632
pid,05:39:05.522,10,0.0,-110.3,111.396,-90.188,-80.037,0.0,0.0,0.0,0.0,0.0,-7.634840973027167,0.0,0.0,-110.3,111.4,-90.1,-90.3,0.0,-1.0000000000000002e-06,-110.3,111.39804178223991,-90.1430817907219,-85.28065206242323,0.0,-2.4788444717618973e-05,0.0,0.0506126061795848,1.113452547504889,-129.9819792678068,0.0,-1.0000000000000002e-06,0.0,0.002041782239913914,0.044918209278108634,-5.243652062423223,0.0,0.0275396,-0.0206547,-0.0137698,-0.0,-7.442576900000001,0.0068849,0.01014285714273,-0.00312087912084,-0.034034920634494,0.006398504273637,-0.004863553113654001,0.001121031746055,10.263378050135337,1.9689069995365571,0.2959420016850345,0.11640699995041359,17.659757999354042
