controller,timestamp,loop,q0,q1,q2,q3,q4,q5,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,target0,target1,target2,target3,target4,target5,cmd_pos0,cmd_pos1,cmd_pos2,cmd_pos3,cmd_pos4,cmd_pos5,cmd_vel0,cmd_vel1,cmd_vel2,cmd_vel3,cmd_vel4,cmd_vel5,u0,u1,u2,u3,u4,u5,hal_vel0,hal_vel1,hal_vel2,hal_vel3,hal_vel4,hal_vel5,hal_torq0,hal_torq1,hal_torq2,hal_torq3,hal_torq4,hal_torq5,err_norm,poll_ms,pd_solve_ms,hal_write_ms,sleep_ms
pd,23:27:53.352,1,-90.0,-90.001,0.0,-89.881,0.005,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,-90.0,0.0,0.0,-90.0,-90.0005,0.0,-89.9405,0.0025,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005000000000023874,0.0,-0.059499999999999886,-0.0025,-0.005,-0.0275396,-0.0481943,0.0206547,-0.0206547,-0.0137698,-0.0,-0.00015604395604199998,0.00043345543345,-0.00052014652014,-0.00048290598291600006,0.000293192918199,-0.00048290598291600006,0.11952823934116974,6.460059999994883,0.4906609999579814,0.1393689999531489,0.0
pd,23:27:53.361,2,-90.0,-90.001,0.0,-89.881,0.005,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,-90.0,0.0,0.0,-90.0,-90.0005,0.0,-89.9405,0.0025,0.005,0.0,0.02643646631718956,0.0,-3.1459394917305303,-0.13218233158531667,-0.26436466317063334,0.0,0.0005000000000023874,0.0,-0.059499999999999886,-0.0025,-0.005,-0.0275396,-0.0481943,0.0206547,-0.0206547,-0.0137698,-0.0,-0.00015604395604199998,0.00043345543345,-0.00052014652014,-0.00048290598291600006,0.000293192918199,-0.00048290598291600006,0.11952823934116974,1.927886999965267,0.2767380000250341,0.08262899996225315,0.0
pd,23:27:53.365,3,-90.0,-90.001,0.0,-89.881,0.005,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,-90.0,0.0,0.0,-90.0,-90.0005,0.0,-89.9405,0.0025,0.005,0.0,0.06768062996224145,0.0,-8.053994965468261,-0.3384031498095914,-0.6768062996191828,0.0,0.0005000000000023874,0.0,-0.059499999999999886,-0.0025,-0.005,-0.0275396,-0.0481943,0.0206547,-0.0206547,-0.0137698,-0.0,-0.00015604395604199998,0.00043345543345,-0.00052014652014,-0.00048290598291600006,0.000293192918199,-0.00048290598291600006,0.11952823934116974,2.5067139999919164,0.2626640000471525,0.12479500003337307,0.0
pd,23:27:53.368,4,-90.0,-90.001,0.0,-89.881,0.005,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,-90.0,0.0,0.0,-90.0,-90.0005,0.0,-89.9405,0.0025,0.005,0.0,0.07786262716306577,0.0,-9.265652632360567,-0.38931313581347,-0.77862627162694,0.0,0.0005000000000023874,0.0,-0.059499999999999886,-0.0025,-0.005,-0.0275396,-0.0481943,0.0206547,-0.0206547,-0.0137698,-0.0,-0.00015604395604199998,0.00043345543345,-0.00052014652014,-0.00048290598291600006,0.000293192918199,-0.00048290598291600006,0.11952823934116974,1.952312000071288,0.22942299995065696,0.09923999994043697,0.0
pd,23:27:53.370,5,-90.0,-90.001,0.0,-89.881,0.005,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,-90.0,0.0,0.0,-90.0,-90.0005,0.0,-89.9405,0.0025,0.005,0.0,0.10540570969089333,0.0,-12.543279453156389,-0.5270285484519501,-1.0540570969039003,0.0,0.0005000000000023874,0.0,-0.059499999999999886,-0.0025,-0.005,-0.0275396,-0.0481943,0.0206547,-0.0206547,-0.0137698,-0.0,-0.00015604395604199998,0.00043345543345,-0.00052014652014,-0.00048290598291600006,0.000293192918199,-0.00048290598291600006,0.11952823934116974,1.9755710000026738,1.333595999994941,2.254086999982974,0.0
pd,23:27:53.377,6,-90.0,-90.001,0.0,-89.881,0.005,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,-90.0,0.0,0.0,-90.0,-90.0005,0.0,-89.9405,0.0025,0.005,0.0,0.03948695161005486,0.0,-4.698947241574083,-0.19743475804933158,-0.39486951609866316,0.0,0.0005000000000023874,0.0,-0.059499999999999886,-0.0025,-0.005,-0.0137698,0.0068849,-0.0,-0.0068849,-0.0068849,-0.0,1.7338217338e-05,3.4676434676e-05,0.000277411477408,-0.000155219780223,0.00024145299145800003,0.00022420634921100003,0.11952823934116974,2.2841600000447215,0.301663999948687,0.13644299997395137,0.0
pd,23:27:53.380,7,-90.0,-90.001,0.0,-89.881,0.005,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,-90.0,0.0,0.0,-90.0,-90.0005,0.0,-89.9405,0.0025,0.005,0.0,0.0879825474077032,0.0,-10.46992314146667,-0.43991273703641554,-0.8798254740728311,0.0,0.0005000000000023874,0.0,-0.059499999999999886,-0.0025,-0.005,-0.0137698,0.0068849,-0.0,-0.0068849,-0.0068849,-0.0,1.7338217338e-05,3.4676434676e-05,0.000277411477408,-0.000155219780223,0.00024145299145800003,0.00022420634921100003,0.11952823934116974,1.943626999945991,0.26918200001091463,0.12599799993040506,0.0
pd,23:27:53.382,8,-90.0,-90.001,0.0,-89.881,0.005,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,-90.0,0.0,0.0,-90.0,-90.0005,0.0,-89.9405,0.0025,0.005,0.0,0.10204126119161218,0.0,-12.142910081743846,-0.5102063059556248,-1.0204126119112495,0.0,0.0005000000000023874,0.0,-0.059499999999999886,-0.0025,-0.005,-0.0137698,0.0068849,-0.0,-0.0068849,-0.0068849,-0.0,1.7338217338e-05,3.4676434676e-05,0.000277411477408,-0.000155219780223,0.00024145299145800003,0.00022420634921100003,0.11952823934116974,2.161809999961406,0.28286700000990095,0.18479499999557447,0.0
pd,23:27:53.385,9,-90.0,-90.001,0.0,-89.881,0.005,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,-90.0,0.0,0.0,-90.0,-90.0005,0.0,-89.9405,0.0025,0.005,0.0,0.09091173920626035,0.0,-10.818496965493303,-0.4545586960291313,-0.9091173920582626,0.0,0.0005000000000023874,0.0,-0.059499999999999886,-0.0025,-0.005,-0.0137698,0.0068849,-0.0,-0.0068849,-0.0068849,-0.0,1.7338217338e-05,3.4676434676e-05,0.000277411477408,-0.000155219780223,0.00024145299145800003,0.00022420634921100003,0.11952823934116974,2.02164500001345,0.2690160000611286,0.3349410000055286,0.0
pd,23:27:53.388,10,-90.0,-90.001,0.0,-89.881,0.005,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,-90.0,0.0,0.0,-90.0,-90.0005,0.0,-89.9405,0.0025,0.005,0.0,0.09096694716795409,0.0,-10.825066712934827,-0.4548347358375987,-0.9096694716751974,0.0,0.0005000000000023874,0.0,-0.059499999999999886,-0.0025,-0.005,-0.0137698,0.0068849,-0.0,-0.0068849,-0.0068849,-0.0,1.7338217338e-05,3.4676434676e-05,0.000277411477408,-0.000155219780223,0.00024145299145800003,0.00022420634921100003,0.11952823934116974,1.9424789999220593,0.277960000062194,0.14223899995613465,0.0
