controller,timestamp,loop,q0,q1,q2,q3,q4,q5,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,target0,target1,target2,target3,target4,target5,cmd_pos0,cmd_pos1,cmd_pos2,cmd_pos3,cmd_pos4,cmd_pos5,cmd_vel0,cmd_vel1,cmd_vel2,cmd_vel3,cmd_vel4,cmd_vel5,u0,u1,u2,u3,u4,u5,hal_vel0,hal_vel1,hal_vel2,hal_vel3,hal_vel4,hal_vel5,hal_torq0,hal_torq1,hal_torq2,hal_torq3,hal_torq4,hal_torq5,err_norm,poll_ms,solve_ms,hal_write_ms,sleep_ms
pid,05:37:14.275,1,-96.93,-102.452,-56.351,-76.763,0.256,44.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.3,111.4,-90.1,-90.3,0.0,-88.93,-106.383848,-48.351,-83.444837,-7.744,36.274,200.0,-98.29619999999998,200.0,-167.04592499999987,-200.0,-200.0,8.0,-3.9318480000000022,8.0,-6.681837000000002,-8.0,-8.0,0.0068849,-0.0137698,0.0137698,-0.0413094,-0.034424500000000004,-0.0413094,-3.4676434676e-05,0.017407570207352,0.004629304029246,-0.00310439560446,-0.000396672771681,-0.00044841269842200006,218.94260842969783,2.099294999425183,0.46736600052099675,0.09731399950396735,17.39313300095091
pid,05:37:14.296,2,-96.93,-102.452,-56.351,-76.763,0.256,44.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.3,111.4,-90.1,-90.3,0.0,-88.93,-106.39191322827148,-48.351,-83.45854316073608,-7.744,36.274,194.61321455085374,-95.84489730066814,194.61321455085374,-162.880147209354,-194.61321455085374,-194.61321455085374,8.0,-3.939913228271479,8.0,-6.695543160736079,-8.0,-8.0,0.0413094,0.0206547,-0.0550792,0.0068849,-0.034424500000000004,-0.0,-3.4676434676e-05,0.016766056165845998,0.003918437118388,-0.0038804945055750002,-0.00010347985348200002,-0.00044841269842200006,218.94260842969783,1.9584070014389,0.2770529990812065,0.08749900007387623,17.724814999382943
pid,05:37:14.318,3,-96.93,-102.452,-56.351,-76.763,0.256,44.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.3,111.4,-90.1,-90.3,0.0,-88.93,-106.4005067641716,-48.351,-83.4731471347804,-7.744,36.274,182.64891404931686,-90.1488090740406,182.64891404931686,-153.20013590984692,-182.64891404931686,-182.64891404931686,8.0,-3.948506764171597,8.0,-6.710147134780399,-8.0,-8.0,-0.0206547,-0.0206547,0.0275396,-0.0068849,-0.0068849,0.0206547,0.001057631257618,0.015413675213482,0.006484493284412,-0.004553113553208,-0.000310439560446,0.001103785103808,218.94260842969783,2.420496000922867,0.536753999767825,0.24049700004979968,16.89402599913592
pid,05:37:14.338,4,-96.93,-102.452,-56.351,-76.763,0.256,44.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.3,111.4,-90.1,-90.3,0.0,-88.93,-106.40858069309998,-48.351,-83.48686808153343,-7.744,36.274,194.40349474513621,-96.14663924747104,194.40349474513621,-163.39293165692158,-194.40349474513621,-194.40349474513621,8.0,-3.95658069309998,8.0,-6.723868081533425,-8.0,-8.0,0.8606125,-1.0740444,0.3098205,-2.7264204000000003,-2.2926717,-2.7401902000000002,0.033514774114353996,-0.013818559218386,0.041264957264439996,0.001069291819314,-0.006915903541047001,0.0057776251527450005,218.94260842969783,5.052564001744031,0.5150510005478282,0.15359099961642642,14.296995001132018
pid,05:37:14.359,5,-96.926,-102.458,-56.349,-76.783,0.239,44.254,0.1980687570837328,-0.29710313562524737,0.0990343785418664,-0.9903437854172567,-0.8417922176048364,-0.9903437854176085,0.0,-110.3,111.4,-90.1,-90.3,0.0,-88.926,-106.4194991554718,-48.349,-83.51031492716027,-7.761,36.254,198.06875708349074,-98.08115173894974,198.06875708349074,-166.55886326648084,-198.06875708349074,-198.06875708349074,8.0,-3.961499155471799,8.0,-6.727314927160265,-8.0,-8.0,7.883210500000001,-5.4803804000000005,6.4993456,-7.759282300000001,-7.8143615,-8.2412253,0.051789255188606,0.00052014652014,0.071797557996658,0.0036045482296230003,-0.006415750915884,0.005760378510498001,218.92679819291197,4.35577300049772,0.3322749998915242,0.15614599942637142,15.172856999924988
pid,05:37:14.379,6,-96.849,-102.56,-56.293,-76.911,0.118,44.121,3.793075436020816,-5.024593434729182,2.758600317105984,-6.305372153385407,-5.960547113747137,-6.5516757531268,0.0,-110.3,111.4,-90.1,-90.3,0.0,-88.849,-106.47835531348991,-48.293,-83.58770186102342,-7.882,36.121,197.0428797932938,-96.51050187792583,197.0428797932938,-164.4495702771624,-197.0428797932938,-197.0428797932938,8.0,-3.9183553134899114,8.0,-6.6767018610234175,-8.0,-8.0,10.871257100000001,-5.7213519,10.7886383,-8.8539814,-10.258501,-10.3755443,0.043328205127662,0.003953113553064,0.05773626373554,0.00051739926741,-0.0052947191698290005,0.0037770146520930002,218.76152709285972,2.0795540003746282,0.351385000612936,0.13096200018480886,17.567797000083374
pid,05:37:14.399,7,-96.693,-102.648,-56.145,-77.051,-0.031,43.963,7.68503334468734,-4.335147014951366,7.290929070600343,-6.896824796514046,-7.340192104861347,-7.783559413208739,0.0,-110.3,111.4,-90.1,-90.3,0.0,-88.693,-106.5301217859726,-48.145,-83.67094607161235,-8.031,35.963,197.05213704325766,-95.62254927351101,197.05213704325766,-163.0593150652916,-197.05213704325766,-197.05213704325766,8.0,-3.8821217859726005,8.0,-6.619946071612347,-8.0,-8.0,11.6217112,-6.4786909,10.4099688,-9.294615,-10.1552275,-10.8161779,0.035786080585632,0.012708913308754,0.064532844932036,-0.000189713064717,-0.006019078144203001,0.002449023199074,218.47409573906012,2.1240910009510117,0.35460799881548155,0.1205909993586829,17.46466800068447
pid,05:37:14.419,8,-96.452,-102.777,-55.921,-77.235,-0.249,43.736,11.914512776991968,-6.377477793493877,11.074069966996886,-9.096557472890023,-10.777443092880716,-11.222383404054883,0.0,-110.3,111.4,-90.1,-90.3,0.0,-88.452,-106.6022303346138,-47.921,-83.7759573674078,-8.249,35.736,197.75124941065536,-94.55550974417723,197.75124941065536,-161.68531146834036,-197.75124941065536,-197.75124941065536,8.0,-3.825230334613792,8.0,-6.540957367407799,-8.0,-8.0,12.5580576,-6.6439285,11.6767904,-9.7145939,-11.4564736,-11.876452500000001,0.0277411477408,0.020580463980206,0.063926007325206,-0.000275946275952,-0.004087454212539,0.002828449328508,218.04455828109997,2.1347759993659565,0.31458999910682905,0.12362800043774769,17.515241999717546
pid,05:37:14.440,9,-96.214,-102.907,-55.705,-77.421,-0.477,43.514,11.749857011699877,-6.417989124037535,10.663735775324332,-9.182661362085144,-11.25616554062007,-10.959950657971888,0.0,-110.3,111.4,-90.1,-90.3,0.0,-88.214,-106.67471780445385,-47.705,-83.88179838324737,-8.477,35.514,197.47658843193108,-93.00450727472399,197.47658843193108,-159.48205290877831,-197.47658843193108,-197.47658843193108,8.0,-3.767717804453852,8.0,-6.460798383247365,-8.0,-8.0,12.5374029,-5.7213519,11.945301500000001,-9.3978885,-11.5528622,-12.048575,0.022851770451484,0.015881807081608,0.06380463980384,0.00046565934066900006,-0.004087454212539,0.003000915750978,217.6195483774378,2.0409999997355044,0.2967750006064307,0.11386899859644473,17.595482000615448
pid,05:37:14.460,10,-95.964,-103.028,-55.482,-77.614,-0.706,43.279,12.389243347984308,-5.996393780424867,11.051205066401954,-9.56449586464378,-11.348546906753626,-11.645888747105223,0.0,-110.3,111.4,-90.1,-90.3,0.0,-87.964,-106.74255481426525,-47.482,-83.99089600487899,-8.706,35.279,198.22789356774894,-92.04104704671761,198.22789356774894,-158.00983281846956,-198.22789356774894,-198.22789356774894,8.0,-3.7145548142652416,8.0,-6.3768960048789864,-8.0,-8.0,12.117424,-5.1636750000000005,12.5511727,-9.8178674,-11.7249847,-12.0210354,0.026146031745704,0.009327960927844,0.056383882783176,-0.00017246642247,-0.0036045482296230003,0.0033458485959180005,217.1810997232494,1.9963140002801083,0.2734420013439376,0.0809439989097882,17.69820400113531
