controller,timestamp,loop,q0,q1,q2,q3,q4,q5,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,target0,target1,target2,target3,target4,target5,cmd_pos0,cmd_pos1,cmd_pos2,cmd_pos3,cmd_pos4,cmd_pos5,cmd_vel0,cmd_vel1,cmd_vel2,cmd_vel3,cmd_vel4,cmd_vel5,u0,u1,u2,u3,u4,u5,hal_vel0,hal_vel1,hal_vel2,hal_vel3,hal_vel4,hal_vel5,hal_torq0,hal_torq1,hal_torq2,hal_torq3,hal_torq4,hal_torq5,err_norm,poll_ms,solve_ms,hal_write_ms,sleep_ms
pid,05:08:10.854,1,-89.985,-90.12,0.842,-150.828,-0.305,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.985,-90.12,0.842,-160.0,-0.305,-0.0,-89.985,-90.12,0.842,-155.423172,-0.305,0.0,0.0,0.0,0.0,-114.87929999999997,0.0,0.0,0.0,0.0,0.0,-4.595171999999991,0.0,0.0,0.0137698,-0.0206547,0.0068849,-0.0895037,-0.0275396,0.0068849,-0.002566056166024,-0.0060683760683,-0.00702197802189,-0.002035103785146,0.00022420634921100003,0.00051739926741,9.171999999999997,2.335809999749472,0.39801399998395937,15.371454000160156,1.9236099997215206
pid,05:08:10.874,2,-89.985,-90.12,0.842,-150.828,-0.304,-0.0,0.0,0.0,0.0,0.0,0.04936333678561345,0.0,-89.985,-90.12,0.842,-160.0,-0.305,-0.0,-89.985,-90.12,0.842,-155.43246229579162,-0.30450101289749143,0.0,0.0,0.0,0.0,-113.64581151191034,-0.012365834196403363,0.0,0.0,0.0,0.0,-4.60446229579162,-0.0005010128974914374,0.0,0.0275396,0.034424500000000004,-0.0068849,-0.0757339,0.0206547,-0.0275396,-0.003068864468826,-0.007160683760593999,-0.00528815628809,-0.002017857142899,0.000137973137976,0.000810592185609,9.172000054513735,2.018905000113591,0.2822010001182207,0.09240700001100777,17.67024400032824
pid,05:08:10.894,3,-89.985,-90.12,0.842,-150.829,-0.305,-0.0,0.0,0.0,0.0,-0.049212169566931765,-0.04921216956669683,0.0,-89.985,-90.12,0.842,-160.0,-0.305,-0.0,-89.985,-90.12,0.842,-155.44228011299086,-0.30500101289749143,0.0,0.0,0.0,0.0,-113.51476158958796,-2.4923441551584577e-05,0.0,0.0,0.0,0.0,-4.61328011299085,-1.0128974914369593e-06,0.0,0.0206547,0.0137698,-0.0206547,-0.0068849,-0.0481943,0.0068849,-0.002878144078108,-0.0060683760683,-0.006432478632398,-0.0018108974359350002,-0.000724358974374,0.001431471306501,9.170999999999992,2.3567530006403103,0.3261819992985693,0.1425359996574116,17.21517500027403
pid,05:08:10.915,4,-89.985,-90.12,0.842,-150.83,-0.305,-0.0,0.0,0.0,0.0,-0.04916313852380649,0.0,0.0,-89.985,-90.12,0.842,-160.0,-0.305,-0.0,-89.985,-90.12,0.842,-155.45210620594932,-0.30500101289749143,0.0,0.0,0.0,0.0,-113.61862383687304,-2.489860984129219e-05,0.0,0.0,0.0,0.0,-4.622106205949308,-1.0128974914369593e-06,0.0,0.0413094,-0.034424500000000004,0.0068849,-4.1102853,0.0206547,0.0068849,-0.002566056166024,-0.006380463980384,-0.006987301587214,0.001603937728971,-0.000638125763139,0.001276251526278,9.169999999999987,3.4160760005761404,0.6317160004982725,0.15381299999717157,15.86004100045102
pid,05:08:10.935,5,-89.985,-90.12,0.842,-150.83,-0.305,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.985,-90.12,0.842,-160.0,-0.305,-0.0,-89.985,-90.12,0.842,-155.46141808796835,-0.30500101289749143,0.0,0.0,0.0,0.0,-114.02126814917105,-2.493660781367395e-05,0.0,0.0,0.0,0.0,-4.631418087968342,-1.0128974914369593e-06,0.0,-0.0068849,0.0413094,-0.034424500000000004,-6.2170647,0.0206547,-0.0068849,-0.002826129426094,-0.007195360195269999,-0.007073992673904,0.001621184371218,0.000137973137976,0.001052045177067,9.169999999999987,3.464000999883865,0.41877300009218743,0.1371649996144697,16.027632000259473
pid,05:08:10.955,6,-89.985,-90.12,0.842,-150.875,-0.305,-0.0,0.0,0.0,0.0,-2.22069676326224,0.0,0.0,-89.985,-90.12,0.842,-160.0,-0.305,-0.0,-89.985,-90.12,0.842,-155.4931634970398,-0.30500101289749143,0.0,0.0,0.0,0.0,-113.95045255661054,-2.4992646453237346e-05,0.0,0.0,0.0,0.0,-4.618163497039802,-1.0128974914369593e-06,0.0,0.0413094,0.0,0.0481943,-6.4511513,-0.034424500000000004,0.0137698,-0.003623687423642,-0.004733333333274,-0.00702197802189,0.0017246642247000002,-0.001327991453019,0.0008968253968440001,9.125,3.4896859997388674,0.41264399987994693,0.13470199974108255,16.014873000131047
pid,05:08:10.975,7,-89.985,-90.12,0.842,-151.12,-0.305,0.0,0.0,0.0,0.0,-12.117262897235058,0.0,0.0,-89.985,-90.12,0.842,-160.0,-0.305,-0.0,-89.985,-90.12,0.842,-155.6246407719345,-0.30500101289749143,0.0,0.0,0.0,0.0,-111.39574794108832,-2.504805141206299e-05,0.0,0.0,0.0,0.0,-4.504640771934504,-1.0128974914369593e-06,0.0,0.034424500000000004,0.0963886,0.0137698,-6.9399792,-0.0137698,0.0068849,-0.002826129426094,-0.005790964590891999,-0.00710866910858,-0.0008450854701030001,-0.001414224664254,0.001121031746055,8.879999999999995,3.483446000245749,0.413032000324165,0.13720199967792723,16.011927999898035
pid,05:08:10.996,8,-89.985,-90.12,0.842,-151.243,-0.305,0.0,0.0,0.0,0.0,-6.085656895473322,0.0,0.0,-89.985,-90.12,0.842,-160.0,-0.305,-0.0,-89.985,-90.12,0.842,-155.69499035891008,-0.30500101289749143,0.0,0.0,0.0,0.0,-110.1353082369269,-2.5057506517405327e-05,0.0,0.0,0.0,0.0,-4.451990358910081,-1.0128974914369593e-06,0.0,0.0068849,-0.0413094,-0.0068849,-7.297994,-0.0137698,0.0275396,-0.003519658119614,-0.00667521367513,-0.00658852258844,-0.0019143772894170002,-0.00017246642247,0.001276251526278,8.757000000000005,3.363983999406628,0.7014379998508957,0.16142500044225017,15.798078999978316
pid,05:08:11.016,9,-89.985,-90.12,0.842,-151.387,-0.305,0.0,0.0,0.0,0.0,-7.131401367291546,0.0,0.0,-89.985,-90.12,0.842,-160.0,-0.305,-0.0,-89.985,-90.12,0.842,-155.77568620938968,-0.30500101289749143,0.0,0.0,0.0,0.0,-108.67181539671517,-2.5081175539891158e-05,0.0,0.0,0.0,0.0,-4.388686209389675,-1.0128974914369593e-06,0.0,-0.0206547,-0.0137698,-0.034424500000000004,-6.5681946,0.0206547,-0.0068849,-0.003519658119614,-0.00745543345534,-0.0076634920633959994,0.00034493284494,0.00044841269842200006,0.0009658119658320001,8.613,2.7311390003887936,0.3829590004897909,0.12636899919016287,20.656972999859136
pid,05:08:11.040,10,-89.985,-90.12,0.842,-151.518,-0.305,0.0,0.0,0.0,0.0,-5.439436745765406,0.0,0.0,-89.985,-90.12,0.842,-160.0,-0.305,-0.0,-89.985,-90.12,0.842,-155.85139996912193,-0.30500101289749143,0.0,0.0,0.0,0.0,-89.96662223717739,-2.1028976468375375e-05,0.0,0.0,0.0,0.0,-4.333399969121928,-1.0128974914369593e-06,0.0,-0.0481943,-0.0275396,-0.0068849,-6.2032949,-0.0206547,-0.0137698,-0.0033289377288959997,-0.0054962148961459996,-0.0069352869352,0.00068986568988,-1.7246642247e-05,0.001569444444477,8.482,3.131559999928868,0.43749500036938116,0.2497019995644223,16.222536999521253
